2019-02-14 21:13:43 install node-retry:all <none> 0.6.0-1
2019-02-14 21:13:43 status half-installed node-retry:all 0.6.0-1
2019-02-14 21:13:44 status unpacked node-retry:all 0.6.0-1
2019-02-14 21:13:44 status unpacked node-retry:all 0.6.0-1
2019-02-14 21:13:44 install node-sha:all <none> 1.2.3-1
2019-02-14 21:13:44 status half-installed node-sha:all 1.2.3-1
2019-02-14 21:13:45 status unpacked node-sha:all 1.2.3-1
2019-02-14 21:13:45 status unpacked node-sha:all 1.2.3-1
2019-02-14 21:13:45 install node-slide:all <none> 1.1.4-1
2019-02-14 21:13:45 status half-installed node-slide:all 1.1.4-1
2019-02-14 21:13:45 status unpacked node-slide:all 1.1.4-1
2019-02-14 21:13:46 status unpacked node-slide:all 1.1.4-1
2019-02-14 21:13:46 install npm:all <none> 1.4.21+ds-2
2019-02-14 21:13:46 status half-installed npm:all 1.4.21+ds-2
2019-02-14 21:13:47 status unpacked npm:all 1.4.21+ds-2
2019-02-14 21:13:47 status unpacked npm:all 1.4.21+ds-2
2019-02-14 21:13:48 startup packages configure
2019-02-14 21:13:48 configure libsqlite3-0:amd64 3.8.7.1-1+deb8u2 <none>
2019-02-14 21:13:48 status unpacked libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:13:48 status half-configured libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:13:48 status installed libsqlite3-0:amd64 3.8.7.1-1+deb8u2
2019-02-14 21:13:48 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2019-02-14 21:13:49 configure libexpat1:amd64 2.1.0-6+deb8u4 <none>
2019-02-14 21:13:49 status unpacked libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:13:49 status half-configured libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:13:49 status installed libexpat1:amd64 2.1.0-6+deb8u4
2019-02-14 21:13:49 configure libpython2.7-stdlib:amd64 2.7.9-2+deb8u2 <none>
2019-02-14 21:13:49 status unpacked libpython2.7-stdlib:amd64 2.7.9-2+deb8u2
